_id,name,subscribedUsers
60cbb634a44eb60033c8ddef,Cooking,"[""firshtashefa"",""Cheryl"",""Zorba"",""Patrick McSweeney"",""Roopa"",""Alice""]"
60cbb638a44eb60033c8ddf0,Reading,"[""Cheryl"",""Zorba"",""Solvita"",""firshtashefa"",""Patrick McSweeney"",""Enzhou"",""Ted Van Dyken"",""Paul Jones""]"
60cbb639a44eb60033c8ddf1,Web Development,"[""Patrick McSweeney"",""Cheryl""]"
60cbb653a44eb60033c8ddf3,Hiking,"[""firshtashefa"",""Zorba"",""Solvita"",""Matt"",""Patrick McSweeney"",""Enzhou"",""Paul Jones""]"
60cbb655a44eb60033c8ddf4,Design,"[""Cheryl""]"
60cbb66ba44eb60033c8ddf5,Karate,"[""Ted Van Dyken""]"
60cbb671a44eb60033c8ddf6,Watercolor,"[""Ted Van Dyken"",""mnair"",""mnair""]"
60cbb679a44eb60033c8ddf8,Acrylic Painting,"[""Ted Van Dyken"",""mnair""]"
60cbb67aa44eb60033c8ddf9,Comics,"[""Cheryl"",""Ted Van Dyken""]"
60cbb67ca44eb60033c8ddfa,Movies,"[""Cheryl"",""Zorba"",""Matt"",""Patrick McSweeney""]"
60cbb681a44eb60033c8ddfb,Origami,"[""Ted Van Dyken""]"
60cbb6aba44eb60033c8ddfc,Baking,"[""Solvita"",""Cheryl"",""Alice""]"
60cbb6c4a44eb60033c8ddfe,Music,"[""Cheryl"",""Zorba"",""Patrick McSweeney"",""Roopa""]"
60cbb6d6a44eb60033c8ddff,Camping,"[""Kristine"",""Patrick McSweeney"",""Zorba""]"
60cbb6d6a44eb60033c8de00,Yoga,"[""Cheryl""]"
60cbb6e0a44eb60033c8de01,Skiing,"[""Kristine""]"
60cbb727a44eb60033c8de02,Watercolor,"[""Zorba""]"
60cbb758a44eb60033c8de03,Game Development,"[""Patrick McSweeney""]"
60cbb9a5a44eb60033c8de04,Board Games,"[""Patrick McSweeney"",""Matt"",""Paul Jones""]"
60cbbab5a44eb60033c8de05,Basketball,"[""Zorba"",""Paul Jones""]"
60cbbabaa44eb60033c8de06,Sailing,"[""Patrick McSweeney""]"
60cbbb1ea44eb60033c8de07,Swimming,"[""Zorba"",""Cheryl"",""Paul Jones"",""Alice""]"
60cbbd20a44eb60033c8de08,Travel,"[""Matt"",""Cheryl"",""Alice"",""Solvita""]"
60cbbd55a44eb60033c8de09,Biking,"[""Matt""]"
60f0c4144a8e62003883bf87,Running,"[""Enzhou"",""Paul Jones""]"
60f0c4894a8e62003883bf89,Toastmasters,"[""Enzhou""]"
60f1b7b44a8e62003883bf8d,Clamming,"[""Alice""]"
60f60300c7ac00003462f7c1,Painting,"[""Roopa"",""mnair""]"
60f6031dc7ac00003462f7c2,Fitness,"[""Roopa""]"
60f60354c7ac00003462f7c3,Interior Design,"[""Roopa"",""mnair""]"
60f60645c468180038ddc775,Drawing,"[""Solvita""]"
60f60660c468180038ddc776,Kayaking,"[""Solvita""]"
60f606f6c468180038ddc777,Present wrapping,"[""Solvita""]"
60f60700c468180038ddc778,Decorating desserts,"[""Solvita""]"
60f60729c468180038ddc779,Exploring,"[""Solvita""]"
60f61400c468180038ddc77a,Swords,"[""Paul Jones""]"
60f701acc468180038ddc77b,Snorkeling,"[""Alice""]"
